endTimeMillis	responseTime	latency	sentBytes	receivedBytes	isSuccessful	responseCode
1742528886.443	822	812	57	19617	isSuccessful	200
1742528886.529	600	589	57	19617	isSuccessful	200
1742528886.696	252	231	57	19617	isSuccessful	200
1742528886.830	300	283	57	19617	isSuccessful	200
1742528886.866	608	599	57	19617	isSuccessful	200
1742528886.986	289	282	57	19617	isSuccessful	200
1742528887.013	182	173	57	19617	isSuccessful	200
1742528887.059	192	173	57	19617	isSuccessful	200
1742528887.273	681	666	57	19617	isSuccessful	200
1742528887.273	213	197	57	19617	isSuccessful	200
1742528887.537	263	262	57	19617	isSuccessful	200
1742528887.657	119	110	57	19617	isSuccessful	200
1742528887.682	759	668	57	19617	isSuccessful	200
1742528887.761	501	483	57	19617	isSuccessful	200
1742528887.827	145	134	57	19617	isSuccessful	200
1742528887.886	124	123	57	19617	isSuccessful	200
1742528887.946	119	111	57	19617	isSuccessful	200
1742528888.007	423	399	57	19617	isSuccessful	200
1742528888.020	133	133	57	19617	isSuccessful	200
1742528888.137	130	113	57	19617	isSuccessful	200
1742528888.316	179	168	57	19617	isSuccessful	200
1742528888.392	468	458	57	19617	isSuccessful	200
1742528888.539	147	146	57	19617	isSuccessful	200
1742528888.632	92	92	57	19617	isSuccessful	200
1742528888.766	508	501	57	19617	isSuccessful	200
1742528888.852	85	76	57	19617	isSuccessful	200
1742528888.916	324	315	57	19617	isSuccessful	200
1742528888.952	100	92	57	19617	isSuccessful	200
1742528889.017	100	92	57	19617	isSuccessful	200
1742528889.104	86	85	57	19617	isSuccessful	200
1742528889.251	324	323	57	19617	isSuccessful	200
1742528889.460	208	191	57	19617	isSuccessful	200
1742528889.563	102	86	57	19617	isSuccessful	200
1742528889.589	331	321	57	19617	isSuccessful	200
1742528889.682	93	85	57	19617	isSuccessful	200
1742528889.788	105	94	57	19617	isSuccessful	200
1742528889.915	325	315	57	19617	isSuccessful	200
1742528890.187	272	263	57	19617	isSuccessful	200
1742528890.402	477	468	57	19617	isSuccessful	200
1742528890.523	336	328	57	19617	isSuccessful	200
1742528890.628	226	218	57	19617	isSuccessful	200
1742528890.731	103	93	57	19617	isSuccessful	200
1742528890.746	490	489	57	19617	isSuccessful	200
1742528890.854	108	83	57	19617	isSuccessful	200
1742528890.935	80	79	57	19617	isSuccessful	200
1742528890.968	365	355	57	19617	isSuccessful	200
1742528891.059	90	82	57	19617	isSuccessful	200
1742528891.163	104	93	57	19617	isSuccessful	200
1742528891.342	417	409	57	19617	isSuccessful	200
1742528891.465	122	115	57	19617	isSuccessful	200
1742528891.568	309	303	57	19617	isSuccessful	200
1742528891.694	228	219	57	19617	isSuccessful	200
1742528891.792	223	182	57	19617	isSuccessful	200
1742528891.856	269	268	57	19617	isSuccessful	200
1742528891.874	81	80	57	19617	isSuccessful	200
1742528891.936	80	79	57	19617	isSuccessful	200
1742528892.050	114	80	57	19617	isSuccessful	200
1742528892.194	265	248	57	19617	isSuccessful	200
1742528892.294	100	91	57	19617	isSuccessful	200
1742528892.390	96	87	57	19617	isSuccessful	200
1742528892.539	285	278	57	19617	isSuccessful	200
1742528892.655	115	106	57	19617	isSuccessful	200
1742528892.807	139	123	57	19617	isSuccessful	200
1742528892.923	336	336	57	19617	isSuccessful	200
1742528893.004	81	81	57	19617	isSuccessful	200
1742528893.110	105	83	57	19617	isSuccessful	200
1742528893.173	254	246	57	19617	isSuccessful	200
1742528893.295	121	104	57	19617	isSuccessful	200
1742528893.446	151	143	57	19617	isSuccessful	200
1742528893.776	524	509	57	19617	isSuccessful	200
1742528893.965	188	181	57	19617	isSuccessful	200
1742528894.127	532	521	57	19617	isSuccessful	200
1742528894.127	161	150	57	19617	isSuccessful	200
1742528894.219	92	83	57	19617	isSuccessful	200
1742528894.300	376	368	57	19617	isSuccessful	200
1742528894.339	119	110	57	19617	isSuccessful	200
1742528894.437	137	117	57	19617	isSuccessful	200
1742528894.603	165	151	57	19617	isSuccessful	200
1742528894.675	423	415	57	19617	isSuccessful	200
1742528894.853	172	164	57	19617	isSuccessful	200
1742528895.009	156	155	57	19617	isSuccessful	200
1742528895.081	495	487	57	19617	isSuccessful	200
1742528895.171	89	84	57	19617	isSuccessful	200
1742528895.254	337	336	57	19617	isSuccessful	200
1742528895.278	89	88	57	19617	isSuccessful	200
1742528895.342	88	75	57	19617	isSuccessful	200
1742528895.437	94	93	57	19617	isSuccessful	200
1742528895.601	351	343	57	19617	isSuccessful	200
1742528895.688	87	78	57	19617	isSuccessful	200
1742528895.796	81	73	57	19617	isSuccessful	200
